Simulation parameters: 
L = 16
seed = 1000
MODIFY = OFF
PRODUCTION = ON
UPDATES PRODUCTION = 10000
NUM_WORKERS = 26624
UPDATES PER WORKER = 16748

#iter | time in nsec
--------------------
    1 | 2.8634e+06
    2 | 1.2789e+07
    3 | 1.9976e+07
    4 | 2.5056e+07
    5 |  2.805e+07
    6 |  3.283e+07
    7 | 3.4922e+07
    8 | 3.7898e+07
    9 | 4.1339e+07
   10 | 4.2743e+07
   11 | 4.5952e+07
   12 | 4.8517e+07
   13 | 5.1035e+07
   14 | 5.2417e+07
   15 | 5.4142e+07
   16 | 5.6957e+07
   17 |  5.898e+07
   18 | 6.1344e+07
   19 | 6.3587e+07
   20 | 6.6544e+07
   21 | 6.8702e+07
   22 | 7.0272e+07
   23 | 7.3092e+07
   24 | 7.3096e+07
   25 | 7.2964e+07
   26 | 7.3145e+07
   27 | 7.3154e+07
   28 | 7.3257e+07
   29 | 7.3333e+07
   30 | 7.3445e+07
   31 | 7.3997e+07
   32 | 7.3618e+07
   33 | 7.4073e+07
   34 |  7.411e+07
   35 | 7.4264e+07
   36 |  7.443e+07
   37 | 7.4677e+07
   38 | 7.4912e+07
   39 | 7.5471e+07
   40 | 7.5393e+07
   41 | 7.5981e+07
   42 | 7.6473e+07
   43 | 7.6615e+07
   44 | 7.7106e+07
   45 | 7.7561e+07
   46 | 7.7986e+07
   47 | 7.8746e+07
   48 | 7.9245e+07
   49 | 8.0149e+07
   50 | 8.0852e+07
   51 | 8.1488e+07
   52 |  8.253e+07
   53 | 8.3668e+07
   54 | 8.4836e+07
   55 | 8.6053e+07
   56 |  8.775e+07
   57 | 8.9344e+07
   58 | 9.0659e+07
   59 | 9.2483e+07
   60 | 9.4581e+07
   61 | 9.6697e+07
   62 |   9.94e+07
   63 | 1.0206e+08
   64 | 1.0505e+08
   65 | 1.0874e+08
   66 | 1.1181e+08
   67 | 1.1599e+08
   68 | 1.2028e+08
   69 | 1.2523e+08
   70 |  1.303e+08
   71 | 1.3655e+08
   72 | 1.4295e+08
   73 | 1.4983e+08
   74 | 1.5757e+08
   75 | 1.6628e+08
   76 | 1.7629e+08
   77 | 1.8621e+08
   78 | 1.9811e+08
   79 | 2.1059e+08
   80 | 2.2408e+08
   81 | 2.3935e+08
   82 | 2.5636e+08

Simulation finished after 82 iterations.
Total simulation time: 7.3212e+09 nsec
Average time per spin flip: 0.36956 nsec
total number of thermalization steps/Worker : 5.5992e+05
total number of iteration updates   /Worker : 1.8416e+05
total number of all updates         /Worker : 7.4408e+05
production run updates  JACK: 100*WORKER 
production run updates total: 10000*WORKER 
production run time total   : 251.32s
